designation,source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,su,sg,sr,si,sz
Gaia DR2 470826482635701376,470826482635701376,67.81353238,58.96975169,181.2815295,0.045009379,1335.041575,-1947.631857,12.352744,12.494153,12.060236,0.43391705,0,0,0,0,0
Gaia DR2 2552928187080872832,2552928187080872832,12.29656845,5.376933285,231.7374995,0.03795979,1231.325249,-2711.830089,12.312182,12.553107,11.942708,0.61039925,14.974,12.856,12.377,14.166,13.581
Gaia DR2 5717278911884258176,5717278911884258176,115.0917576,-17.41599077,109.2155688,0.029714408,1138.639661,-542.6730065,12.991718,13.092446,12.756255,0.33619118,0,0,0,0,0
Gaia DR2 2205493129867600256,2205493129867600256,336.4568139,63.96339124,26.29220207,0.082792724,1089.867007,1344.237806,17.492647,17.96378,16.873007,1.0907726,0,0,0,0,0
Gaia DR2 4190813690536580608,4190813690536580608,301.3999688,-10.94880493,57.7622853,0.080099647,1063.418738,-81.57890512,16.682999,17.267138,15.977133,1.2900047,19.41317,17.49904,16.61222,16.28391,16.13338
Gaia DR2 333010327952701696,333010327952701696,32.8426172,39.92048902,58.23021093,0.035059774,1028.733044,-500.3686492,14.421328,14.578869,14.103832,0.47503662,0,0,0,0,0
Gaia DR2 3427482725113315200,3427482725113315200,87.40252936,23.49413381,19.25155675,0.172729106,1026.739962,-917.6636278,18.100727,18.712778,17.372381,1.3403969,0,0,0,0,0
Gaia DR2 3429296884940000000,3429296884940000256,86.24505446,26.04405579,27.68091255,0.102048601,999.6317218,-1389.592371,16.896782,17.413532,16.192427,1.2211056,0,0,0,0,0
Gaia DR2 2490975272405858048,2490975272405858048,31.3025313,-5.296725484,30.90130684,0.209756726,960.2243142,392.9840315,18.13858,18.882215,17.353256,1.5289593,21.31,19.213,18.115,17.608,17.319
Gaia DR2 431635455820288128,431635455820288128,0.603372411,63.96272806,38.07976654,0.079118951,918.8525102,108.2691666,17.02377,17.523834,16.365953,1.1578808,0,0,0,0,0
Gaia DR2 1064978578888570496,1064978578888570496,145.3738332,65.19220722,21.92175926,0.213791679,869.347514,-793.4327041,18.461607,19.070005,17.71326,1.3567448,21.542,19.349,18.396,18.052,17.856
Gaia DR2 5726927573083821440,5726927573083821440,125.5805711,-12.82333366,16.19923347,0.402030531,865.0070738,-881.3988714,19.503572,20.04066,18.733868,1.3067932,0,0,0,0,0
Gaia DR2 351429930856438656,351429930856438656,34.24677915,42.96560953,48.88860566,0.094232527,852.8062793,-583.5176334,16.056423,16.447453,15.489573,0.95788,0,0,0,0,0
Gaia DR2 92597914738232448,92597914738232448,31.56470196,18.60710349,27.35266683,0.179885946,785.6606328,97.49185144,18.171776,18.806915,17.384544,1.4223709,21.29,19.274,18.174,17.753,17.52
Gaia DR2 420531621029108608,420531621029108608,3.357664036,54.63526287,31.08410372,0.15723537,776.7595696,600.1367934,18.021423,18.669687,17.188131,1.4815559,0,0,0,0,0
Gaia DR2 6913810483611035776,6913810483611035776,314.2024568,-4.845276618,61.75182792,0.067833169,776.3548923,-222.9393825,16.362885,16.96871,15.618667,1.3500433,0,0,0,0,0
Gaia DR2 3103811515783541504,3103811515783541504,100.3029423,-4.534575554,48.94473784,0.115636185,753.4256587,505.489392,17.040422,17.726274,16.227085,1.4991894,0,0,0,0,0
Gaia DR2 5060587895604134400,5060587895604134400,52.20682306,-27.31507451,43.43492349,0.038406816,721.3904477,375.8956249,13.604134,13.679235,13.411649,0.2675867,14.42,0,0,0,0
Gaia DR2 372111985092019840,372111985092019840,21.09378789,40.39891872,36.97235937,0.078138413,691.9341551,-128.1346188,16.920826,17.336548,16.331255,1.0052929,18.934,17.488,16.863,16.635,16.548
Gaia DR2 492442090962517376,492442090962517376,47.74742407,66.5655232,26.11380214,0.125101225,684.8386505,-435.5865868,17.908318,18.473728,17.200857,1.272871,0,0,0,0,0
Gaia DR2 2528728726428345216,2528728726428345216,8.043836832,-2.899804699,42.4390845,0.10968829,640.2039929,151.7851585,17.021215,17.609823,16.291002,1.318821,19.912,17.885,16.972,16.626,16.428
Gaia DR2 2448933731627261824,2448933731627261824,358.1357517,-2.88536953,33.07211308,0.135662135,637.8320597,285.1473573,16.999525,16.99566,16.901896,0.09376526,17.185,16.981,17.071,17.191,17.351
Gaia DR2 2533575369771883648,2533575369771883648,18.77192255,-1.554432549,29.39426828,0.112909041,635.2445704,23.62037627,17.396408,17.80325,16.808498,0.994751,19.322,17.954,17.359,17.131,17.031
Gaia DR2 3283853143218651264,3283853143218651264,66.58897284,4.539384162,46.9843489,0.101377163,632.9007722,-570.3266092,16.886637,17.399704,16.210756,1.1889477,0,0,0,0,0
Gaia DR2 2364319061964016512,2364319061964016512,8.825743144,-17.31434335,29.94430775,0.043073698,615.5217081,-4.049154411,14.938567,14.983694,14.814844,0.16884995,0,0,0,0,0
Gaia DR2 5652718097353105664,5652718097353105664,133.4932887,-24.78161618,38.86021441,0.157738854,613.7222387,155.6506542,17.950277,18.396877,17.36541,1.0314674,0,0,0,0,0
Gaia DR2 2638553754605793408,2638553754605793408,348.8309134,-2.160512253,33.63117063,0.062528725,591.8784847,177.8987212,16.237131,16.452934,15.879279,0.5736551,17.21,16.418,16.226,16.191,16.227
Gaia DR2 2410908771246898176,2410908771246898176,343.4013612,-14.64131015,27.34799791,0.143524239,583.5856541,-34.05396809,17.526865,17.928572,16.948557,0.9800148,0,0,0,0,0
Gaia DR2 2480523216087975040,2480523216087975040,24.49998442,-4.997249396,79.20894338,0.039218578,580.9461844,-350.1788132,12.758389,12.924606,12.4415655,0.4830408,14.983,13.098,12.855,12.843,13.886
Gaia DR2 515289392829738624,515289392829738624,36.63909211,64.99001579,32.36966532,0.123713992,580.1781593,-378.2593705,17.919218,18.622337,17.136131,1.486206,0,0,0,0,0
Gaia DR2 5709868512742196608,5709868512742196608,127.9634541,-16.72714858,27.88822769,0.259634955,565.4437825,-500.878632,18.353882,19.039532,17.52263,1.516901,0,0,0,0,0
Gaia DR2 2356519298275043200,2356519298275043200,12.79788249,-20.46747857,37.24857018,0.096176032,563.2925728,-431.2751021,17.003668,17.518505,16.35594,1.1625652,0,0,0,0,0
Gaia DR2 1788893259339772032,1788893259339772032,318.6279118,19.80840669,21.20209146,0.398132151,560.9520309,-41.59972636,19.144678,19.932447,18.227528,1.7049198,0,0,0,0,0
Gaia DR2 5128633195616949120,5128633195616949120,41.38522546,-19.85939074,31.12571801,0.144590953,560.9288554,39.38497002,17.883,18.541555,17.107801,1.433754,0,0,0,0,0
Gaia DR2 2610488514148351360,2610488514148351360,343.9585223,-7.834198946,27.78398461,0.105166131,549.2535593,-46.94091337,16.367645,16.5732,15.978286,0.59491444,17.235,16.66,16.405,16.362,16.376
Gaia DR2 3324181683539044224,3324181683539044224,95.20130534,6.754697972,41.47343025,0.103471591,537.4353908,-13.63251166,16.256699,16.569717,15.764002,0.80571556,17.576,16.626,16.221,16.08,16.056
