request,su,sg,sr,si,sz,PS_g,PS_r,PS_i,PS_z,PS_y
Gaia DR2 1038076351151065088,16.71869,16.37922,16.31474,16.38193,16.48929,16.40660095,16.32740021,16.40239906,16.50720024,16.59070015
Gaia DR2 1058284412796260480,16.01225,15.37266,15.15641,15.07344,15.10239,15.368,15.151,15.107,15.133,15.153
Gaia DR2 1193520666521113344,18.043,15.981,15.498,15.453,15.497,15.92700005,15.50909996,15.46630001,15.54339981,15.55319977
Gaia DR2 1221513029974792448,15.71,15.65,15.83,15.95,16.22,15.68760014,15.83959961,16.02339935,16.21899986,16.34620094
Gaia DR2 1565832689713351808,16.189,16.253,16.519,16.718,16.946,16.2845993,16.47069931,16.71520042,16.92959976,17.03840065
Gaia DR2 339492017717622016,0,0,0,0,0,17.61,17.322,17.215,17.229,17.22
Gaia DR2 3480776843983381632,0,0,0,0,0,17.564,17.173,17.031,17.003,16.996
Gaia DR2 3713218786120541824,18.377,17.956,17.293,17.166,17.179,17.9279995,17.32379913,17.17280006,17.18020058,17.18020058
Gaia DR2 4201781696994073472,12.58,0,0,0,0,12.69120026,12.71080017,8.979310036,9.335639954,13.42249966
Gaia DR2 5022387185162024960,0,0,0,0,0,0,0,0,0,0
Gaia DR2 5436014972680358272,0,0,0,0,0,0,0,0,0,0
Gaia DR2 5436014972680358784,0,0,0,0,0,0,0,0,0,0
Gaia DR2 680099824985004288,19.772,18.28,17.595,17.382,17.31,18.158,17.613,17.411,17.358,17.281
Gaia DR2 808030648576069760,20.45,18.543,17.736,17.428,17.268,18.44650078,17.71839905,17.44659996,17.34930038,17.26449966
Gaia DR2 1000142959474643584,0,0,0,0,0,16.880899,16.9615,17.1054,17.2698,17.357901
Gaia DR2 1000251531952405120,0,0,0,0,0,19.5758,19.227699,19.0697,19.032301,19.015499
Gaia DR2 1000299395067039488,0,0,0,0,0,19.254801,18.7083,18.578199,18.5186,18.532301
Gaia DR2 1000471502997099520,0,0,0,0,0,18.5916,18.269899,18.157301,18.1346,18.1378
Gaia DR2 1000654988295741056,0,0,0,0,0,18.7146,18.398199,18.2623,18.295,18.269699
Gaia DR2 1000750680166939008,0,0,0,0,0,19.574499,19.0688,18.8908,18.8531,18.7493
Gaia DR2 1001351318458520960,0,0,0,0,0,18.3111,18.0221,17.916901,17.918699,17.8939
Gaia DR2 1002469010681431936,0,0,0,0,0,0,0,0,0,0
Gaia DR2 1002501171397938432,0,0,0,0,0,17.5098,17.4133,17.4191,17.498199,17.5459
Gaia DR2 1003080575370626944,0,0,0,0,0,0,0,0,0,0
Gaia DR2 1004109340296754944,0,0,0,0,0,16.6607,16.7404,16.870899,17.0273,17.1171
Gaia DR2 1004612744823365248,0,0,0,0,0,19.869801,19.2614,18.930799,18.834499,18.802
Gaia DR2 1005056535204966144,0,0,0,0,0,19.0483,18.449499,18.2136,18.2052,18.1845
Gaia DR2 1005424424923592320,0,0,0,0,0,19.1094,18.9786,18.962601,19.036301,19.0758
Gaia DR2 1005751495272679296,0,0,0,0,0,19.8018,19.417601,19.241199,19.1994,19.1931
Gaia DR2 1005909000316328192,0,0,0,0,0,19.0963,18.800501,18.7899,18.8368,19.482
Gaia DR2 1006362377061156352,0,0,0,0,0,18.3904,18.3834,18.440201,18.5375,18.568899
Gaia DR2 1006934917677675392,0,0,0,0,0,18.5662,18.5257,18.5632,18.670601,18.7367
Gaia DR2 1007300574013875584,0,0,0,0,0,18.428699,18.2307,18.1873,18.2108,18.2509
Gaia DR2 1007682723024253184,0,0,0,0,0,18.741501,18.0249,17.7001,17.5888,17.5068
Gaia DR2 1008714030571152128,0,0,0,0,0,15.8602,16.1465,16.432699,16.6751,16.821199
Gaia DR2 1009518284670371840,18.35574,18.06702,18.03261,18.18551,18.34004,18.02029991,18.04870033,18.13879967,18.28230095,18.37479973
Gaia DR2 1010300965150157824,21.776,19.8,18.97,18.669,18.503,19.701599,18.955,18.6649,18.5562,18.5266
Gaia DR2 1011466005095102464,20.68,19.292,18.728,18.479,18.399,19.25169945,18.6923008,18.47229958,18.43330002,18.46809959
Gaia DR2 1011870071322756096,19.09735,18.52465,18.37655,18.35707,18.45,18.51729965,18.38619995,18.3878994,18.40309906,18.49360085
Gaia DR2 1012210992942502144,20.58435,20.36369,19.43917,19.0223,19.17082,20.33399963,19.41699982,19.03140068,19.0720005,19.07830048
Gaia DR2 1012271221268203136,22.228,19.975,18.688,18.264,18.068,19.786699,18.735901,18.253799,18.0944,18.0214
Gaia DR2 1014142383899931392,20.744,19.662,19.08,18.909,18.96,0,0,0,0,0
Gaia DR2 1014548520302641536,17.60318,17.16776,17.16939,17.23589,17.35697,17.19860077,17.18980026,17.24609947,17.36910057,17.39730072
Gaia DR2 1014793672740325248,18.97768,18.54894,18.48491,18.49402,18.58704,18.55900002,18.48570061,18.53580093,18.61129951,18.68280029
Gaia DR2 1015768939554753920,20.566,19.604,19.053,18.859,18.794,19.502199,19.0744,18.9009,18.801001,18.829201
Gaia DR2 1015799828959492352,21.549,20.007,19.499,19.256,19.269,19.990801,19.510201,19.2852,19.2152,19.224701
Gaia DR2 1016560970179771264,19.11808,18.68226,18.542,18.58247,18.62291,18.6529007,18.53569984,18.54879951,18.60169983,18.66600037
Gaia DR2 1016617865610081152,18.55613,18.17917,18.07327,18.11953,18.19181,18.14410019,18.07130051,18.1147995,18.20529938,18.25379944
Gaia DR2 101673523847748736,21.051,19.378,18.654,18.376,18.25,0,0,0,0,0
Gaia DR2 1017803276584446336,21.582,19.872,19.179,18.916,18.797,19.809299,19.1891,18.934299,18.811899,18.805799
Gaia DR2 1017868869324495488,23.097,20.652,19.587,19.178,19.089,0,0,0,0,0
Gaia DR2 1018214665731836032,20.561,19.105,18.592,18.388,18.271,19.0427,18.5588,18.397301,18.3634,18.2861
Gaia DR2 101854122928108288,17.826,17.517,17.481,17.543,17.644,17.5263,17.496099,17.583401,17.6952,17.7883
Gaia DR2 1018659143306715392,22.355,20.297,19.4,19.106,18.929,0,0,0,0,0
Gaia DR2 1019874314110122368,16.49134,16.10992,16.39134,16.61611,16.90716,16.1310997,16.35289955,16.61910057,16.85169983,16.98390007
Gaia DR2 1020076452450631296,20.77,18.89,18.14,17.83,17.72,18.802,18.108,17.833,17.734,17.692
Gaia DR2 1020158400426591872,17.36064,17.16093,17.20979,17.32063,17.5001,17.18880081,17.2052002,17.33539963,17.48500061,17.59029961
Gaia DR2 102038286830643840,20.23847,19.07305,18.53264,18.34135,18.2407,18.9890995,18.55220032,18.3621006,18.31879997,18.27009964
Gaia DR2 1020653077580086784,15.43878,15.14986,15.14399,15.25336,15.37996,15.179,15.178,15.274,15.404,15.484
Gaia DR2 1020868302685710848,21.091,19.675,19.175,18.992,18.98,19.617701,19.179501,18.9921,18.986099,18.8843
Gaia DR2 1021408850089922560,18.40989,18.06906,18.08086,18.16749,18.29452,18.08270073,18.10269928,18.19129944,18.32180023,18.37000084
Gaia DR2 1022128244227188224,17.05,16.75,16.83,16.98,17.18,16.75270081,16.83029938,16.97800064,17.15710068,17.24060059
Gaia DR2 1022470261063639808,15.665,15.388,15.719,15.984,16.241,15.42140007,15.70909977,15.98219967,16.23290062,16.40239906
Gaia DR2 1025040880593486720,19.632,19.077,18.916,18.825,18.854,19.0795002,18.86610031,18.82600021,18.87350082,18.90500069
Gaia DR2 1025090152458148096,22.269,19.849,19.053,18.698,18.536,19.835199,19.063101,18.737801,18.6234,18.537399
Gaia DR2 1026185403478262912,21.5,19.944,19.327,19.059,18.982,19.9065,19.323299,19.084299,19.044399,18.9513
Gaia DR2 1026249243872649856,20.234,19.371,18.955,18.798,18.829,19.3102,18.9561,18.848499,18.820601,18.771799
Gaia DR2 1026514226174393344,20.129,19.39,19.129,19.056,19.04,19.3627,19.1236,19.0422,19.0781,19.064501
Gaia DR2 1027695136022450432,20.099,19.225,18.818,18.693,18.73,19.1633,18.819599,18.701799,18.6833,18.7167
Gaia DR2 1027704894188127232,17.98904,17.48044,17.36292,17.32304,17.37511,17.48550034,17.35759926,17.33950043,17.39150047,17.43829918
Gaia DR2 1028072371590379136,21.139,19.35,18.434,18.077,18,19.18980026,18.44650078,18.10390091,17.97540092,17.93199921
Gaia DR2 102847359885208704,0,0,0,0,0,0,0,0,0,0
Gaia DR2 1028955489881696768,17.607,17.239,17.291,17.406,17.577,17.2416,17.2981,17.4209,17.576099,17.6866
Gaia DR2 1029968414968983424,17.81769,17.6094,17.65459,17.73906,17.86015,17.6317997,17.67819977,17.76709938,17.90229988,18.03750038
Gaia DR2 1030289712881895296,18.54071,18.21452,18.19953,18.24809,18.36064,18.2215004,18.16970062,18.27000046,18.3586998,18.47030067
Gaia DR2 1030381796981255936,19.01832,18.45323,18.26561,18.21777,18.32431,18.4564991,18.26910019,18.23609924,18.27930069,18.24309921
Gaia DR2 1030621658018969856,19.22508,18.7111,18.53208,18.51881,18.49338,18.71649933,18.55130005,18.53639984,18.57480049,18.67000008
Gaia DR2 1031832946170531456,17.91352,17.48676,17.53226,17.65402,17.80586,17.48259926,17.54520035,17.64679909,17.77820015,17.88870049
Gaia DR2 1032545631568349056,19.50492,18.93084,18.73269,18.7006,18.69579,18.91749954,18.74279976,18.72750092,18.78879929,18.7840004
Gaia DR2 1032793743239555712,21.762,20.089,19.374,19.067,19.021,0,0,0,0,0
Gaia DR2 1032919057500263552,23.275,21.323,20.278,19.952,19.786,0,0,0,0,0
Gaia DR2 1032933449935852416,23.322,20.868,19.915,19.578,19.393,0,0,0,0,0
Gaia DR2 1033040583599433728,21.741,20.164,19.377,19.081,19.048,0,0,0,0,0
Gaia DR2 1034060277555338368,17.432,17.277,17.405,17.541,17.726,17.325899,17.393,17.563101,17.712999,17.829901
Gaia DR2 103440095437050752,18.345,17.848,17.665,17.707,17.77,17.811001,17.7138,17.743401,17.795401,17.8269
Gaia DR2 1034473453408991360,20.177,19.267,18.85,18.655,18.63,19.204599,18.8274,18.674999,18.6313,18.594
Gaia DR2 1034734243823264000,22.266,20.052,19.214,18.907,18.883,0,0,0,0,0
Gaia DR2 1035126803834023296,18.61143,17.88252,17.58761,17.54736,17.53062,17.83390045,17.5958004,17.54879951,17.56739998,17.6595993
Gaia DR2 1035222289547372800,18.16628,17.72709,17.62746,17.61817,17.69964,17.71759987,17.62360001,17.63999939,17.72369957,17.73590088
