id,Column2,Column1,g,ge,r,re,i,ie,z,ze,y,ye
1000142959474643584,12.92411971,0.101770595,16.8809,0.0041,16.9615,0.0039,17.1054,0.0026,17.2698,0.0058,17.3579,0.011
1000251531952405120,10.13702618,0.640231365,19.5758,0.0089,19.2277,0.0117,19.0697,0.007,19.0323,0.0106,19.0155,0.0154
1000299395067039488,14.02677909,0.307215574,19.2548,0.0106,18.7083,0.0163,18.5782,0.0215,18.5186,0.0122,18.5323,0.0334
1000471502997099520,14.50294517,0.227941834,18.5916,0.0095,18.2699,0.0064,18.1573,0.0039,18.1346,0.0119,18.1378,0.0161
1000654988295741056,14.9987629,0.249304529,18.7146,0.0075,18.3982,0.0026,18.2623,0.0043,18.295,0.0119,18.2697,0.0215
1000750680166939008,13.08664487,0.295799084,19.5745,0.0125,19.0688,0.0158,18.8908,0.0048,18.8531,0.0213,18.7493,0.0263
1001351318458520960,16.54806058,0.173250429,18.3111,0.0037,18.0221,0.0065,17.9169,0.0035,17.9187,0.0008,17.8939,0.0192
1002469010681431936,11.03985282,0.342682545,18.5958,0.0041,18.1926,0.0133,18.015,0.0102,18.0368,0.0099,17.8381,0.0372
1002501171397938432,17.99426225,0.113636342,17.5098,0.0034,17.4133,0.0063,17.4191,0.0038,17.4982,0.0058,17.5459,0.0072
1003080575370626944,10.37359735,0.807497864,20.8983,0.0274,20.2547,0.0302,19.9164,0.0092,19.8185,0.02,19.793,0.0588
1004109340296754944,13.00556782,0.112863327,16.6607,0.0033,16.7404,0.0028,16.8709,0.0033,17.0273,0.0034,17.1171,0.0087
1004612744823365248,10.18885116,0.350444836,19.8698,0.0183,19.2614,0.0101,18.9308,0.0068,18.8345,0.0134,18.802,0.0145
1005056535204966144,20.23812569,0.257350775,19.0483,0.0105,18.4495,0.0103,18.2136,0.005,18.2052,0.0063,18.1845,0.0163
1005424424923592320,10.23637594,0.331339038,19.1094,0.0186,18.9786,0.0126,18.9626,0.0144,19.0363,0.0104,19.0758,0.0331
1005751495272679296,10.42609607,0.503451731,19.8018,0.0147,19.4176,0.0118,19.2412,0.0097,19.1994,0.0074,19.1931,0.0483
1005909000316328192,10.70908518,0.304591934,19.0963,0.0104,18.8005,0.029,18.7899,0.0122,18.8368,0.0213,19.482,0.2413
1006362377061156352,11.15618644,0.174965416,18.3904,0.0216,18.3834,0.007,18.4402,0.0035,18.5375,0.0151,18.5689,0.0299
1006934917677675392,10.35425096,0.216250909,18.5662,0.0067,18.5257,0.0082,18.5632,0.0062,18.6706,0.0101,18.7367,0.0137
1007300574013875584,11.53295106,0.173611981,18.4287,0.0131,18.2307,0.0028,18.1873,0.006,18.2108,0.0092,18.2509,0.0165
1007682723024253184,25.33478527,0.190580735,18.7415,0.0118,18.0249,0.0033,17.7001,0.0059,17.5888,0.0052,17.5068,0.0095
1008714030571152128,10.26346883,0.059889921,15.8602,0.0018,16.1465,0.0034,16.4327,0.0037,16.6751,0.0025,16.8212,0.007
1009518284670371840,10.63060215,0.171256265,18.0203,0.0066,18.0487,0.0065,18.1388,0.0053,18.2823,0.0056,18.3748,0.0112
1010300965150157824,17.27484255,0.386966001,19.7016,0.0092,18.955,0.0102,18.6649,0.0061,18.5562,0.0086,18.5266,0.0115
1011466005095102464,16.11065631,0.297335333,19.2517,0.0084,18.6923,0.006,18.4723,0.0067,18.4333,0.0047,18.4681,0.0139
1011870071322756096,13.46531646,0.218452558,18.5173,0.0099,18.3862,0.0068,18.3879,0.0088,18.4031,0.0054,18.4936,0.0379
1012210992942502144,11.65386957,0.41573947,20.334,0.0357,19.417,0.017,19.0314,0.008,19.072,0.0129,19.0783,0.0596
1012271221268203136,24.12196508,0.296025114,19.7867,0.0101,18.7359,0.007,18.2538,0.0036,18.0944,0.0085,18.0214,0.0073
1014142383899931392,12.9946311,0.37152894,19.584,0.0189,19.1075,0.0163,18.9333,0.0068,18.9161,0.0091,19.0044,0.0338
1014548520302641536,11.68389402,0.123405322,17.1986,0.0043,17.1898,0.0041,17.2461,0.0034,17.3691,0.008,17.3973,0.0138
1014793672740325248,10.48127563,0.208277231,18.559,0.0119,18.4857,0.0016,18.5358,0.0109,18.6113,0.0142,18.6828,0.025
1015768939554753920,11.77338571,0.319844427,19.5022,0.0142,19.0744,0.0076,18.9009,0.0063,18.801,0.0199,18.8292,0.0212
1015799828959492352,11.06124817,0.397569945,19.9908,0.0232,19.5102,0.0117,19.2852,0.008,19.2152,0.0142,19.2247,0.0767
1016560970179771264,10.14466076,0.239291411,18.6529,0.0089,18.5357,0.0096,18.5488,0.0043,18.6017,0.0079,18.666,0.0336
1016617865610081152,13.29151716,0.172127303,18.1441,0.0047,18.0713,0.0104,18.1148,0.0039,18.2053,0.0057,18.2538,0.0056
101673523847748736,16.00289487,0.25438641,19.2185,0.0114,18.63,0.0055,18.3889,0.007,18.3005,0.0081,18.2408,0.0137
1017803276584446336,12.04155811,0.408803267,19.8093,0.0074,19.1891,0.0247,18.9343,0.0065,18.8119,0.0121,18.8058,0.0278
1017868869324495488,12.50323832,0.524420061,20.4387,0.0205,19.6259,0.0269,19.2084,0.0112,19.1078,0.0104,19.0831,0.0396
1018214665731836032,13.48652335,0.241541755,19.0427,0.0037,18.5588,0.0139,18.3973,0.0082,18.3634,0.0098,18.2861,0.0152
101854122928108288,13.55614934,0.121758496,17.5263,0.0034,17.4961,0.0072,17.5834,0.0038,17.6952,0.0164,17.7883,0.0177
1018659143306715392,13.89087024,0.464062759,20.1538,0.0153,19.3938,0.004,19.0182,0.0008,18.9047,0.0268,18.8766,0.1876
1019874314110122368,11.34364728,0.067050546,16.1311,0.0053,16.3529,0.0055,16.6191,0.0021,16.8517,0.0033,16.9839,0.0081
1020076452450631296,21.58537242,0.177124737,18.8016,0.0093,18.1079,0.0055,17.8333,0.0048,17.7343,0.0044,17.692,0.0073
1020158400426591872,13.59321533,0.10515233,17.1888,0.0044,17.2052,0.0074,17.3354,0.0041,17.485,0.0067,17.5903,0.0134
102038286830643840,14.88211267,0.263224754,18.9891,0.0059,18.5522,0.0061,18.3621,0.0058,18.3188,0.0089,18.2701,0.0111
1020653077580086784,36.3075912,0.047967572,15.1791,0.0007,15.1783,0.003,15.2738,0.0026,15.4036,0.0015,15.4837,0.0046
1020868302685710848,10.75502195,0.31092475,19.6177,0.0145,19.1795,0.0088,18.9921,0.0051,18.9861,0.0137,18.8843,0.0159
1021408850089922560,11.0536973,0.162963246,18.0827,0.0075,18.1027,0.006,18.1913,0.0069,18.3218,0.0114,18.37,0.0175
1022128244227188224,14.61429539,0.083218823,16.7527,0.0062,16.8303,0.0024,16.978,0.0035,17.1571,0.0044,17.2406,0.0068
1022470261063639808,13.75660476,0.061291479,15.4214,0.0021,15.7091,0.0032,15.9822,0.0018,16.2329,0.0032,16.4024,0.0045
1025040880593486720,11.39053323,0.233545555,19.0795,0.0098,18.8661,0.0086,18.826,0.009,18.8735,0.0077,18.905,0.0304
1025090152458148096,15.35250244,0.368039497,19.8352,0.0091,19.0631,0.0055,18.7378,0.0074,18.6234,0.0149,18.5374,0.0333
1026185403478262912,11.19180015,0.34346954,19.9065,0.0154,19.3233,0.0128,19.0843,0.0059,19.0444,0.0133,18.9513,0.0597
1026249243872649856,10.65959901,0.230397272,19.3102,0.0082,18.9561,0.0106,18.8485,0.0078,18.8206,0.0116,18.7718,0.0442
1026514226174393344,10.64418594,0.258664712,19.3627,0.0076,19.1236,0.0074,19.0422,0.0063,19.0781,0.0092,19.0645,0.0261
1027695136022450432,13.3701263,0.299181941,19.1633,0.0095,18.8196,0.0141,18.7018,0.0053,18.6833,0.0118,18.7167,0.0151
1027704894188127232,10.81894122,0.118881657,17.4855,0.0091,17.3576,0.0094,17.3395,0.0031,17.3915,0.0056,17.4383,0.0133
1028072371590379136,20.90344137,0.212103462,19.1859,0.0039,18.4272,0.0105,18.1065,0.0072,18.0118,0.0142,17.9249,0.0161
102847359885208704,10.49738456,0.353447157,19.2336,0.0099,18.9918,0.0073,18.9035,0.0107,18.9506,0.0107,18.9265,0.0642
1028955489881696768,10.86462064,0.106125777,17.2416,0.0038,17.2981,0.0039,17.4209,0.0026,17.5761,0.0066,17.6866,0.013
1029968414968983424,13.13832928,0.146486376,17.6318,0.0072,17.6782,0.0062,17.7671,0.0045,17.9023,0.0072,18.0375,0.0165
1030289712881895296,10.32083613,0.172376647,18.2215,0.0148,18.1697,0.0124,18.27,0.0054,18.3587,0.0109,18.4703,0.0198
1030381796981255936,10.93143274,0.169443066,18.4565,0.008,18.2691,0.0018,18.2361,0.0049,18.2793,0.008,18.2431,0.012
1030621658018969856,10.93732754,0.259448707,18.7165,0.0093,18.5513,0.0087,18.5364,0.0059,18.5748,0.0062,18.67,0.0242
1031832946170531456,12.95337732,0.14335394,17.4826,0.0047,17.5452,0.0031,17.6468,0.0024,17.7782,0.0071,17.8887,0.0144
1032545631568349056,10.01715923,0.255628673,18.9175,0.0057,18.7428,0.0075,18.7275,0.0037,18.7888,0.0063,18.784,0.0211
1032793743239555712,12.12527628,0.435510506,19.9967,0.0153,19.359,0.0089,19.0711,0.0073,18.9755,0.0116,18.9004,0.0296
1032919057500263552,10.93787631,0.80708196,21.0951,0.0842,20.3245,0.0359,19.9501,0.0122,19.7542,0.0221,19.6745,0.0194
1032933449935852416,10.78261188,0.612811044,20.6197,0.0487,19.9307,0.0234,19.6056,0.0148,19.3753,0.0207,19.3817,0.0857
1033040583599433728,11.86549076,0.439536125,20.0147,0.0179,19.3448,0.0073,19.1078,0.0095,19.0406,0.0129,18.9273,0.0235
1034060277555338368,10.22818551,0.105824457,17.3259,0.0043,17.393,0.0041,17.5631,0.0039,17.713,0.007,17.8299,0.0271
103440095437050752,12.02683095,0.137289491,17.811,0.0066,17.7138,0.0098,17.7434,0.0093,17.7954,0.0045,17.8269,0.0185
1034473453408991360,12.8091298,0.242172041,19.2046,0.0047,18.8274,0.0058,18.675,0.0066,18.6313,0.0133,18.594,0.0291
1034734243823264000,13.55535345,0.351547557,19.8743,0.0158,19.192,0.0188,18.9042,0.0076,18.8099,0.0058,18.7755,0.0238
