request,PS_g,PS_r,PS_i,PS_z,PS_y,p,pe
1038076351151065088,16.40660095,16.32740021,16.40239906,16.50720024,16.59070015,23.94344399,0.068133408
1058284412796260480,15.368,15.151,15.107,15.133,15.153,58.5131127,0.026295772
1193520666521113344,15.92700005,15.50909996,15.46630001,15.54339981,15.55319977,51.90162747,0.059261271
1221513029974792448,15.68760014,15.83959961,16.02339935,16.21899986,16.34620094,17.09429061,0.045651962
1565832689713351808,16.2845993,16.47069931,16.71520042,16.92959976,17.03840065,10.38340731,0.054057152
339492017717622016,17.61,17.322,17.215,17.229,17.22,19.8201549,0.157043219
3480776843983381632,17.564,17.173,17.031,17.003,16.996,32.23000859,0.109813055
3713218786120541824,17.9279995,17.32379913,17.17280006,17.18020058,17.18020058,24.87782445,0.130571097
4201781696994073472,12.69120026,12.71080017,8.979310036,9.335639954,13.42249966,95.25170434,0.074830051
5022387185162024960,0,0,0,0,0,11.85404035,0.070328765
5436014972680358272,0,0,0,0,0,38.08209465,0.030387017
5436014972680358784,0,0,0,0,0,38.05970761,0.030883664
680099824985004288,18.158,17.613,17.411,17.358,17.281,25.27811053,0.139183202
808030648576069760,18.44650078,17.71839905,17.44659996,17.34930038,17.26449966,28.47800048,0.194677308
1000142959474643584,16.880899,16.9615,17.1054,17.2698,17.357901,12.92411971,0.101770595
1000251531952405120,19.5758,19.227699,19.0697,19.032301,19.015499,10.13702618,0.640231365
1000299395067039488,19.254801,18.7083,18.578199,18.5186,18.532301,14.02677909,0.307215574
1000471502997099520,18.5916,18.269899,18.157301,18.1346,18.1378,14.50294517,0.227941834
1000654988295741056,18.7146,18.398199,18.2623,18.295,18.269699,14.9987629,0.249304529
1000750680166939008,19.574499,19.0688,18.8908,18.8531,18.7493,13.08664487,0.295799084
1001351318458520960,18.3111,18.0221,17.916901,17.918699,17.8939,16.54806058,0.173250429
1002469010681431936,0,0,0,0,0,11.03985282,0.342682545
1002501171397938432,17.5098,17.4133,17.4191,17.498199,17.5459,17.99426225,0.113636342
1003080575370626944,0,0,0,0,0,10.37359735,0.807497864
1004109340296754944,16.6607,16.7404,16.870899,17.0273,17.1171,13.00556782,0.112863327
1004612744823365248,19.869801,19.2614,18.930799,18.834499,18.802,10.18885116,0.350444836
1005056535204966144,19.0483,18.449499,18.2136,18.2052,18.1845,20.23812569,0.257350775
